日付,価格
1985-01-22,254.0
1985-01-23,254.4
1985-01-24,253.7
1985-01-25,253.95
1985-01-28,254.18
1985-01-29,254.35
1985-01-30,254.5
1985-01-31,254.8
1985-02-01,256.75
1985-02-04,259.42
1985-02-05,259.7
1985-02-06,259.53
1985-02-07,260.65
1985-02-08,260.7
1985-02-11,261.65
1985-02-12,262.6
1985-02-13,262.8
1985-02-14,260.5
1985-02-15,257.85
1985-02-18,255.5
1985-02-19,260.7
1985-02-20,261.3
1985-02-21,261.8
1985-02-22,262.8
1985-02-25,262.65
1985-02-26,261.05
1985-02-27,259.3
1985-02-28,259.45
1985-03-01,260.35
1985-03-04,260.1
1985-03-05,261.0
1985-03-06,261.2
1985-03-07,261.0
1985-03-08,261.63
1985-03-11,259.25
1985-03-12,260.1
1985-03-13,260.25
1985-03-14,260.55
1985-03-15,260.55
1985-03-18,259.9
1985-03-19,256.3
1985-03-20,256.4
1985-03-21,254.1
1985-03-22,255.65
1985-03-25,256.65
1985-03-26,255.4
1985-03-27,251.95
1985-03-28,253.0
1985-03-29,251.0
1985-04-01,252.45
1985-04-02,254.3
1985-04-03,253.15
1985-04-04,254.5
1985-04-05,254.85
1985-04-08,255.5
1985-04-09,254.9
1985-04-10,254.25
1985-04-11,251.7
1985-04-12,251.35
1985-04-15,249.95
1985-04-16,249.55
1985-04-17,249.55
1985-04-18,247.6
1985-04-19,247.4
1985-04-22,248.8
1985-04-23,250.0
1985-04-24,251.3
1985-04-25,252.35
1985-04-26,252.95
1985-04-29,252.7
1985-04-30,251.5
1985-05-01,252.75
1985-05-02,252.95
1985-05-03,253.85
1985-05-06,254.55
1985-05-07,252.9
1985-05-08,253.25
1985-05-09,251.55
1985-05-10,252.4
1985-05-13,251.35
1985-05-14,249.6
1985-05-15,251.0
1985-05-16,251.5
1985-05-17,250.7
1985-05-20,249.65
1985-05-21,250.25
1985-05-22,250.75
1985-05-23,251.3
1985-05-24,251.1
1985-05-28,251.6
1985-05-29,251.75
1985-05-30,251.6
1985-05-31,251.2
1985-06-03,248.6
1985-06-04,249.1
1985-06-05,249.45
1985-06-06,247.7
1985-06-07,249.55
1985-06-10,250.5
1985-06-11,249.9
1985-06-12,249.85
1985-06-13,249.8
1985-06-14,248.75
1985-06-17,248.7
1985-06-18,247.55
1985-06-19,247.7
1985-06-20,248.35
1985-06-21,248.15
1985-06-24,248.8
1985-06-25,249.0
1985-06-26,248.45
1985-06-27,249.0
1985-06-28,248.4
1985-07-01,247.95
1985-07-02,248.35
1985-07-03,248.05
1985-07-04,248.8
1985-07-05,247.0
1985-07-08,246.05
1985-07-09,244.25
1985-07-10,243.45
1985-07-11,243.0
1985-07-12,240.95
1985-07-15,237.65
1985-07-16,237.9
1985-07-17,236.5
1985-07-18,238.2
1985-07-19,238.75
1985-07-22,240.05
1985-07-23,238.0
1985-07-24,239.75
1985-07-25,238.9
1985-07-26,239.25
1985-07-29,237.15
1985-07-30,237.4
1985-07-31,236.45
1985-08-01,237.65
1985-08-02,237.45
1985-08-05,237.5
1985-08-06,238.45
1985-08-07,238.4
1985-08-08,238.5
1985-08-09,238.55
1985-08-12,237.3
1985-08-13,237.35
1985-08-14,238.0
1985-08-15,237.15
1985-08-16,236.85
1985-08-19,236.85
1985-08-20,237.4
1985-08-21,237.0
1985-08-22,235.85
1985-08-23,236.5
1985-08-26,236.89
1985-08-27,237.38
1985-08-28,237.0
1985-08-29,237.12
1985-08-30,239.0
1985-09-03,239.5
1985-09-04,239.6
1985-09-05,239.95
1985-09-06,243.6
1985-09-09,243.45
1985-09-10,242.75
1985-09-11,243.55
1985-09-12,243.2
1985-09-13,242.0
1985-09-16,241.35
1985-09-17,241.7
1985-09-18,242.25
1985-09-19,242.05
1985-09-20,240.1
1985-09-23,231.9
1985-09-24,229.8
1985-09-25,226.9
1985-09-26,220.3
1985-09-27,220.1
1985-09-30,216.5
1985-10-01,215.0
1985-10-02,214.1
1985-10-03,212.79
1985-10-04,213.45
1985-10-07,215.45
1985-10-08,216.0
1985-10-09,214.8
1985-10-10,215.4
1985-10-11,214.65
1985-10-15,215.45
1985-10-16,217.3
1985-10-17,215.15
1985-10-18,215.15
1985-10-21,215.7
1985-10-22,216.1
1985-10-23,215.9
1985-10-24,216.7
1985-10-25,214.9
1985-10-28,213.5
1985-10-29,212.43
1985-10-30,211.5
1985-10-31,211.55
1985-11-01,209.0
1985-11-04,207.9
1985-11-05,208.0
1985-11-06,205.25
1985-11-07,205.6
1985-11-08,205.85
1985-11-11,204.15
1985-11-12,205.86
1985-11-13,204.0
1985-11-14,203.57
1985-11-15,204.3
1985-11-18,203.45
1985-11-19,203.0
1985-11-20,203.45
1985-11-21,202.1
1985-11-22,201.35
1985-11-25,200.8
1985-11-26,201.0
1985-11-27,201.05
1985-11-28,202.05
1985-11-29,202.1
1985-12-02,204.03
1985-12-03,204.75
1985-12-04,202.65
1985-12-05,203.0
1985-12-06,203.4
1985-12-09,203.5
1985-12-10,203.6
1985-12-11,203.9
1985-12-12,202.05
1985-12-13,202.8
1985-12-16,202.6
1985-12-17,201.95
1985-12-18,203.15
1985-12-19,202.97
1985-12-20,202.7
1985-12-23,202.45
1985-12-24,202.75
1985-12-26,202.8
1985-12-27,202.2
1985-12-30,201.05
1985-12-31,200.25
1986-01-02,199.15
1986-01-03,202.53
1986-01-06,201.9
1986-01-07,201.7
1986-01-08,202.1
1986-01-09,202.1
1986-01-10,202.01
1986-01-13,202.7
1986-01-14,202.6
1986-01-15,202.5
1986-01-16,202.55
1986-01-17,202.52
1986-01-20,202.32
1986-01-21,202.35
1986-01-22,201.7
1986-01-23,202.05
1986-01-24,196.05
1986-01-27,195.75
1986-01-28,195.65
1986-01-29,194.1
1986-01-30,193.05
1986-01-31,192.3
1986-02-03,191.55
1986-02-04,192.05
1986-02-05,190.65
1986-02-06,190.48
1986-02-07,191.35
1986-02-10,188.15
